"id","标题","目录","年鉴页码","编号","CAJ","PDF","EXCEL","年鉴年份"
"20","农垦系统国营农场基本情况","全国和省、自治区、直辖市农村经济","45","N2005120998000019","yearbooks/N2005120998000019.caj","yearbooks/N2005120998000019.pdf",,"1993"
"21","各地区农垦系统国营农场基本情况","全国和省、自治区、直辖市农村经济","46","N2005120998000020","yearbooks/N2005120998000020.caj","yearbooks/N2005120998000020.pdf",,"1993"
"22","全国乡镇企业单位数","全国和省、自治区、直辖市农村经济","47","N2005120998000021","yearbooks/N2005120998000021.caj","yearbooks/N2005120998000021.pdf",,"1993"
"23","各地区乡镇企业单位数","全国和省、自治区、直辖市农村经济","48","N2005120998000022","yearbooks/N2005120998000022.caj","yearbooks/N2005120998000022.pdf",,"1993"
"24","全国乡镇企业职工人数","全国和省、自治区、直辖市农村经济","49","N2005120998000023","yearbooks/N2005120998000023.caj","yearbooks/N2005120998000023.pdf",,"1993"
"25","各地区乡镇企业职工人数","全国和省、自治区、直辖市农村经济","50","N2005120998000024","yearbooks/N2005120998000024.caj","yearbooks/N2005120998000024.pdf",,"1993"
"26","农村个体工商业基本情况","全国和省、自治区、直辖市农村经济","51","N2005120998000025","yearbooks/N2005120998000025.caj","yearbooks/N2005120998000025.pdf",,"1993"
"27","各地区农村个体工商业基本情况","全国和省、自治区、直辖市农村经济","52-53","N2005120998000026","yearbooks/N2005120998000026.caj","yearbooks/N2005120998000026.pdf",,"1993"
"28","农村社会总产值","全国和省、自治区、直辖市农村经济","54-85","N2005120998000027","yearbooks/N2005120998000027.caj","yearbooks/N2005120998000027.pdf",,"1993"
"29","全国农村社会总产值及构成","全国和省、自治区、直辖市农村经济","54","N2005120998000028","yearbooks/N2005120998000028.caj","yearbooks/N2005120998000028.pdf","yearbooks/N2005120998000028.xls","1993"
"30","各经济地带农村社会总产值及构成","全国和省、自治区、直辖市农村经济","54","N2005120998000029","yearbooks/N2005120998000029.caj","yearbooks/N2005120998000029.pdf","yearbooks/N2005120998000029.xls","1993"
"31","各地区农村社会总产值","全国和省、自治区、直辖市农村经济","55-56","N2005120998000030","yearbooks/N2005120998000030.caj","yearbooks/N2005120998000030.pdf","yearbooks/N2005120998000030.xls","1993"
"32","全国农业总产值及构成(按当年价格计算)","全国和省、自治区、直辖市农村经济","57","N2005120998000031","yearbooks/N2005120998000031.caj","yearbooks/N2005120998000031.pdf","yearbooks/N2005120998000031.xls","1993"
"33","各经济地带农业总产值及构成(按当年价格计算)","全国和省、自治区、直辖市农村经济","57","N2005120998000032","yearbooks/N2005120998000032.caj","yearbooks/N2005120998000032.pdf","yearbooks/N2005120998000032.xls","1993"
"34","分项农业总产值(按当年价格计算)","全国和省、自治区、直辖市农村经济","58","N2005120998000033","yearbooks/N2005120998000033.caj","yearbooks/N2005120998000033.pdf","yearbooks/N2005120998000033.xls","1993"
"35","各地区农林牧副渔业产值(按当年价格计算)","全国和省、自治区、直辖市农村经济","59-60","N2005120998000034","yearbooks/N2005120998000034.caj","yearbooks/N2005120998000034.pdf","yearbooks/N2005120998000034.xls","1993"
"36","各地区分项农业产值(按当年价格计算)","全国和省、自治区、直辖市农村经济","61-66","N2005120998000035","yearbooks/N2005120998000035.caj","yearbooks/N2005120998000035.pdf","yearbooks/N2005120998000035.xls","1993"
"37","分项农业总产值及增长情况(按1990年不变价格计算)","全国和省、自治区、直辖市农村经济","67","N2005120998000036","yearbooks/N2005120998000036.caj","yearbooks/N2005120998000036.pdf","yearbooks/N2005120998000036.xls","1993"
"38","各地区农林牧副渔业产值(按1990年不变价格计算)","全国和省、自治区、直辖市农村经济","68-69","N2005120998000037","yearbooks/N2005120998000037.caj","yearbooks/N2005120998000037.pdf","yearbooks/N2005120998000037.xls","1993"
"39","各地区分项农业产值(按1990年不变价格计算)","全国和省、自治区、直辖市农村经济","70-75","N2005120998000038","yearbooks/N2005120998000038.caj","yearbooks/N2005120998000038.pdf","yearbooks/N2005120998000038.xls","1993"
"40","全国分部门农业物质消耗及构成","全国和省、自治区、直辖市农村经济","76","N2005120998000039","yearbooks/N2005120998000039.caj","yearbooks/N2005120998000039.pdf","yearbooks/N2005120998000039.xls","1993"
"41","全国分部门农业净产值及构成","全国和省、自治区、直辖市农村经济","76","N2005120998000040","yearbooks/N2005120998000040.caj","yearbooks/N2005120998000040.pdf","yearbooks/N2005120998000040.xls","1993"
"42","全国分项农业物质消耗","全国和省、自治区、直辖市农村经济","77","N2005120998000041","yearbooks/N2005120998000041.caj","yearbooks/N2005120998000041.pdf","yearbooks/N2005120998000041.xls","1993"
"43","各地区分部门农业物质消耗","全国和省、自治区、直辖市农村经济","78","N2005120998000042","yearbooks/N2005120998000042.caj","yearbooks/N2005120998000042.pdf","yearbooks/N2005120998000042.xls","1993"
"44","各地区农业物质消耗分部门构成","全国和省、自治区、直辖市农村经济","79","N2005120998000043","yearbooks/N2005120998000043.caj","yearbooks/N2005120998000043.pdf","yearbooks/N2005120998000043.xls","1993"
"45","各地区分部门农业物质消耗比重","全国和省、自治区、直辖市农村经济","80","N2005120998000044","yearbooks/N2005120998000044.caj","yearbooks/N2005120998000044.pdf","yearbooks/N2005120998000044.xls","1993"
"46","各地区农业物质消耗、农业净产值及占农业总产值比重","全国和省、自治区、直辖市农村经济","81","N2005120998000045","yearbooks/N2005120998000045.caj","yearbooks/N2005120998000045.pdf","yearbooks/N2005120998000045.xls","1993"
"47","各地区分部门农业净产值","全国和省、自治区、直辖市农村经济","82","N2005120998000046","yearbooks/N2005120998000046.caj","yearbooks/N2005120998000046.pdf","yearbooks/N2005120998000046.xls","1993"
"48","各地区农业净产值分部门构成","全国和省、自治区、直辖市农村经济","83","N2005120998000047","yearbooks/N2005120998000047.caj","yearbooks/N2005120998000047.pdf","yearbooks/N2005120998000047.xls","1993"
"49","各地区分部门农业净产值比重","全国和省、自治区、直辖市农村经济","84","N2005120998000048","yearbooks/N2005120998000048.caj","yearbooks/N2005120998000048.pdf","yearbooks/N2005120998000048.xls","1993"
"50","各地区农业总产出、中间消耗和增加值","全国和省、自治区、直辖市农村经济","85","N2005120998000049","yearbooks/N2005120998000049.caj","yearbooks/N2005120998000049.pdf","yearbooks/N2005120998000049.xls","1993"
"51","主要农产品和乡村企业主要工业产品生产情况","全国和省、自治区、直辖市农村经济","86-161","N2005120998000050","yearbooks/N2005120998000050.caj","yearbooks/N2005120998000050.pdf",,"1993"
"52","全国主要农作物播种面积","全国和省、自治区、直辖市农村经济","86","N2005120998000051","yearbooks/N2005120998000051.caj","yearbooks/N2005120998000051.pdf","yearbooks/N2005120998000051.xls","1993"
"53","全国主要农作物播种面积构成","全国和省、自治区、直辖市农村经济","87","N2005120998000052","yearbooks/N2005120998000052.caj","yearbooks/N2005120998000052.pdf","yearbooks/N2005120998000052.xls","1993"
"54","各地区农作物总播种面积","全国和省、自治区、直辖市农村经济","88","N2005120998000053","yearbooks/N2005120998000053.caj","yearbooks/N2005120998000053.pdf","yearbooks/N2005120998000053.xls","1993"
"55","各地区粮食作物播种面积","全国和省、自治区、直辖市农村经济","89-92","N2005120998000054","yearbooks/N2005120998000054.caj","yearbooks/N2005120998000054.pdf","yearbooks/N2005120998000054.xls","1993"
"56","各地区经济作物播种面积","全国和省、自治区、直辖市农村经济","93-97","N2005120998000055","yearbooks/N2005120998000055.caj","yearbooks/N2005120998000055.pdf","yearbooks/N2005120998000055.xls","1993"
"57","各地区其他农作物播种面积","全国和省、自治区、直辖市农村经济","98","N2005120998000056","yearbooks/N2005120998000056.caj","yearbooks/N2005120998000056.pdf","yearbooks/N2005120998000056.xls","1993"
"58","各地区农作物播种面积构成","全国和省、自治区、直辖市农村经济","99","N2005120998000057","yearbooks/N2005120998000057.caj","yearbooks/N2005120998000057.pdf","yearbooks/N2005120998000057.xls","1993"
"59","各经济地带主要农作物播种面积","全国和省、自治区、直辖市农村经济","100","N2005120998000058","yearbooks/N2005120998000058.caj","yearbooks/N2005120998000058.pdf","yearbooks/N2005120998000058.xls","1993"
"60","全国主要农作物产品产量","全国和省、自治区、直辖市农村经济","101","N2005120998000059","yearbooks/N2005120998000059.caj","yearbooks/N2005120998000059.pdf","yearbooks/N2005120998000059.xls","1993"
"61","各地区粮食总产量","全国和省、自治区、直辖市农村经济","102","N2005120998000060","yearbooks/N2005120998000060.caj","yearbooks/N2005120998000060.pdf","yearbooks/N2005120998000060.xls","1993"
"63","各地区主要粮食作物产量","全国和省、自治区、直辖市农村经济","104-105","N2005120998000061","yearbooks/N2005120998000061.caj","yearbooks/N2005120998000061.pdf","yearbooks/N2005120998000061.xls","1993"
"64","各地区主要经济作物产量","全国和省、自治区、直辖市农村经济","106-108","N2005120998000062","yearbooks/N2005120998000062.caj","yearbooks/N2005120998000062.pdf","yearbooks/N2005120998000062.xls","1993"
"65","各经济地带主要农作物产品产量","全国和省、自治区、直辖市农村经济","109","N2005120998000063","yearbooks/N2005120998000063.caj","yearbooks/N2005120998000063.pdf","yearbooks/N2005120998000063.xls","1993"
"66","全国主要农作物单位面积产量","全国和省、自治区、直辖市农村经济","110","N2005120998000064","yearbooks/N2005120998000064.caj","yearbooks/N2005120998000064.pdf","yearbooks/N2005120998000064.xls","1993"
"67","各地区主要粮食作物单位面积产量","全国和省、自治区、直辖市农村经济","111-112","N2005120998000065","yearbooks/N2005120998000065.caj","yearbooks/N2005120998000065.pdf","yearbooks/N2005120998000065.xls","1993"
"68","各地区主要经济作物单位面积产量","全国和省、自治区、直辖市农村经济","113-115","N2005120998000066","yearbooks/N2005120998000066.caj","yearbooks/N2005120998000066.pdf","yearbooks/N2005120998000066.xls","1993"
"69","农垦系统国营农场农作物种植业生产情况","全国和省、自治区、直辖市农村经济","116","N2005120998000067","yearbooks/N2005120998000067.caj","yearbooks/N2005120998000067.pdf","yearbooks/N2005120998000067.xls","1993"
"70","各地区农垦系统国营农场农业总产值和粮食产量","全国和省、自治区、直辖市农村经济","117","N2005120998000068","yearbooks/N2005120998000068.caj","yearbooks/N2005120998000068.pdf","yearbooks/N2005120998000068.xls","1993"
"71","全国蚕茧、茶叶、水果主要品种产量和面积","全国和省、自治区、直辖市农村经济","118","N2005120998000069","yearbooks/N2005120998000069.caj","yearbooks/N2005120998000069.pdf","yearbooks/N2005120998000069.xls","1993"
"72","各地区蚕茧、茶叶产量","全国和省、自治区、直辖市农村经济","119","N2005120998000070","yearbooks/N2005120998000070.caj","yearbooks/N2005120998000070.pdf","yearbooks/N2005120998000070.xls","1993"
"73","各地区水果产量","全国和省、自治区、直辖市农村经济","120-121","N2005120998000071","yearbooks/N2005120998000071.caj","yearbooks/N2005120998000071.pdf","yearbooks/N2005120998000071.xls","1993"
"74","各地区桑园、柞坡、茶园面积","全国和省、自治区、直辖市农村经济","122","N2005120998000072","yearbooks/N2005120998000072.caj","yearbooks/N2005120998000072.pdf","yearbooks/N2005120998000072.xls","1993"
"75","各地区果园面积","全国和省、自治区、直辖市农村经济","123","N2005120998000073","yearbooks/N2005120998000073.caj","yearbooks/N2005120998000073.pdf","yearbooks/N2005120998000073.xls","1993"
"76","全国亚热带作物生产情况","全国和省、自治区、直辖市农村经济","124","N2005120998000074","yearbooks/N2005120998000074.caj","yearbooks/N2005120998000074.pdf","yearbooks/N2005120998000074.xls","1993"
"77","全国林业生产情况","全国和省、自治区、直辖市农村经济","125-126","N2005120998000075","yearbooks/N2005120998000075.caj","yearbooks/N2005120998000075.pdf","yearbooks/N2005120998000075.xls","1993"
"78","各地区营林情况","全国和省、自治区、直辖市农村经济","127-131","N2005120998000076","yearbooks/N2005120998000076.caj","yearbooks/N2005120998000076.pdf","yearbooks/N2005120998000076.xls","1993"
"79","各地区主要林产品产量","全国和省、自治区、直辖市农村经济","132-133","N2005120998000077","yearbooks/N2005120998000077.caj","yearbooks/N2005120998000077.pdf","yearbooks/N2005120998000077.xls","1993"
"80","农垦系统国营农场茶、蚕、果、林业生产情况","全国和省、自治区、直辖市农村经济","134","N2005120998000078","yearbooks/N2005120998000078.caj","yearbooks/N2005120998000078.pdf","yearbooks/N2005120998000078.xls","1993"
"81","全国主要畜产品产量","全国和省、自治区、直辖市农村经济","135","N2005120998000079","yearbooks/N2005120998000079.caj","yearbooks/N2005120998000079.pdf","yearbooks/N2005120998000079.xls","1993"
"82","各地区主要畜产品产量","全国和省、自治区、直辖市农村经济","136-140","N2005120998000080","yearbooks/N2005120998000080.caj","yearbooks/N2005120998000080.pdf","yearbooks/N2005120998000080.xls","1993"
"83","全国牲畜年末存栏头数","全国和省、自治区、直辖市农村经济","141","N2005120998000081","yearbooks/N2005120998000081.caj","yearbooks/N2005120998000081.pdf","yearbooks/N2005120998000081.xls","1993"
"84","各地区主要牲畜年末存栏头数","全国和省、自治区、直辖市农村经济","142-145","N2005120998000082","yearbooks/N2005120998000082.caj","yearbooks/N2005120998000082.pdf","yearbooks/N2005120998000082.xls","1993"
"85","全国水产品产量","全国和省、自治区、直辖市农村经济","146","N2005120998000083","yearbooks/N2005120998000083.caj","yearbooks/N2005120998000083.pdf","yearbooks/N2005120998000083.xls","1993"
"86","各地区水产品总产量","全国和省、自治区、直辖市农村经济","147","N2005120998000084","yearbooks/N2005120998000084.caj","yearbooks/N2005120998000084.pdf","yearbooks/N2005120998000084.xls","1993"
"87","各地区淡水产品产量","全国和省、自治区、直辖市农村经济","148","N2005120998000085","yearbooks/N2005120998000085.caj","yearbooks/N2005120998000085.pdf","yearbooks/N2005120998000085.xls","1993"
"88","各地区海水产品产量","全国和省、自治区、直辖市农村经济","149","N2005120998000086","yearbooks/N2005120998000086.caj","yearbooks/N2005120998000086.pdf","yearbooks/N2005120998000086.xls","1993"
"89","全国水产养殖面积","全国和省、自治区、直辖市农村经济","150","N2005120998000087","yearbooks/N2005120998000087.caj","yearbooks/N2005120998000087.pdf","yearbooks/N2005120998000087.xls","1993"
"90","各地区水产养殖面积","全国和省、自治区、直辖市农村经济","151","N2005120998000088","yearbooks/N2005120998000088.caj","yearbooks/N2005120998000088.pdf","yearbooks/N2005120998000088.xls","1993"
"91","农垦系统国营农场畜牧业、渔业生产情况","全国和省、自治区、直辖市农村经济","152","N2005120998000089","yearbooks/N2005120998000089.caj","yearbooks/N2005120998000089.pdf","yearbooks/N2005120998000089.xls","1993"
"92","1992年主要农产品产量与历史最高年比较","全国和省、自治区、直辖市农村经济","153","N2005120998000090","yearbooks/N2005120998000090.caj","yearbooks/N2005120998000090.pdf","yearbooks/N2005120998000090.xls","1993"
"93","乡村企业主要工业产品产量","全国和省、自治区、直辖市农村经济","154","N2005120998000091","yearbooks/N2005120998000091.caj","yearbooks/N2005120998000091.pdf","yearbooks/N2005120998000091.xls","1993"
"94","各地区乡村企业主要工业产品产量","全国和省、自治区、直辖市农村经济","155-160","N2005120998000092","yearbooks/N2005120998000092.caj","yearbooks/N2005120998000092.pdf","yearbooks/N2005120998000092.xls","1993"
"95","乡村企业主要工业产品产量及占全国同类产品产量的比重","全国和省、自治区、直辖市农村经济","161","N2005120998000093","yearbooks/N2005120998000093.caj","yearbooks/N2005120998000093.pdf","yearbooks/N2005120998000093.xls","1993"
"96","农村市场与物价","全国和省、自治区、直辖市农村经济","162-187","N2005120998000094","yearbooks/N2005120998000094.caj","yearbooks/N2005120998000094.pdf",,"1993"
"97","社会农副产品收购额和收购量","全国和省、自治区、直辖市农村经济","162-163","N2005120998000095","yearbooks/N2005120998000095.caj","yearbooks/N2005120998000095.pdf","yearbooks/N2005120998000095.xls","1993"
"98","各地区社会农副产品收购量","全国和省、自治区、直辖市农村经济","164-165","N2005120998000096","yearbooks/N2005120998000096.caj","yearbooks/N2005120998000096.pdf","yearbooks/N2005120998000096.xls","1993"
"99","国营和供销合作社商业农副产品收购量","全国和省、自治区、直辖市农村经济","166","N2005120998000097","yearbooks/N2005120998000097.caj","yearbooks/N2005120998000097.pdf","yearbooks/N2005120998000097.xls","1993"
"100","城乡集市贸易情况","全国和省、自治区、直辖市农村经济","167","N2005120998000098","yearbooks/N2005120998000098.caj","yearbooks/N2005120998000098.pdf","yearbooks/N2005120998000098.xls","1993"
"101","农村社会商品零售额","全国和省、自治区、直辖市农村经济","168","N2005120998000099","yearbooks/N2005120998000099.caj","yearbooks/N2005120998000099.pdf","yearbooks/N2005120998000099.xls","1993"
"102","农民对非农业居民零售量和零售额","全国和省、自治区、直辖市农村经济","168","N2005120998000100","yearbooks/N2005120998000100.caj","yearbooks/N2005120998000100.pdf","yearbooks/N2005120998000100.xls","1993"
"103","国营和供销合作社商业销售农业生产资料情况","全国和省、自治区、直辖市农村经济","169","N2005120998000101","yearbooks/N2005120998000101.caj","yearbooks/N2005120998000101.pdf","yearbooks/N2005120998000101.xls","1993"
"104","海关出口农副产品及加工品数量","全国和省、自治区、直辖市农村经济","170-171","N2005120998000102","yearbooks/N2005120998000102.caj","yearbooks/N2005120998000102.pdf","yearbooks/N2005120998000102.xls","1993"
"105","乡镇企业出口产品交售额","全国和省、自治区、直辖市农村经济","172","N2005120998000103","yearbooks/N2005120998000103.caj","yearbooks/N2005120998000103.pdf","yearbooks/N2005120998000103.xls","1993"
"106","农村各种物价总指数","全国和省、自治区、直辖市农村经济","173","N2005120998000104","yearbooks/N2005120998000104.caj","yearbooks/N2005120998000104.pdf","yearbooks/N2005120998000104.xls","1993"
"107","农村居民生活费用价格分类指数","全国和省、自治区、直辖市农村经济","173","N2005120998000105","yearbooks/N2005120998000105.caj","yearbooks/N2005120998000105.pdf","yearbooks/N2005120998000105.xls","1993"
"108","各地区农村居民生活费用价格分类指数","全国和省、自治区、直辖市农村经济","174","N2005120998000106","yearbooks/N2005120998000106.caj","yearbooks/N2005120998000106.pdf","yearbooks/N2005120998000106.xls","1993"
"109","农村零售物价分类指数","全国和省、自治区、直辖市农村经济","175","N2005120998000107","yearbooks/N2005120998000107.caj","yearbooks/N2005120998000107.pdf","yearbooks/N2005120998000107.xls","1993"
"110","各地区农村零售物价分类指数","全国和省、自治区、直辖市农村经济","176-177","N2005120998000108","yearbooks/N2005120998000108.caj","yearbooks/N2005120998000108.pdf","yearbooks/N2005120998000108.xls","1993"
"111","农副产品收购价格分类指数","全国和省、自治区、直辖市农村经济","178","N2005120998000109","yearbooks/N2005120998000109.caj","yearbooks/N2005120998000109.pdf","yearbooks/N2005120998000109.xls","1993"
"113","各地区农副产品收购价格分类指数","全国和省、自治区、直辖市农村经济","181-183","N2005120998000110","yearbooks/N2005120998000110.caj","yearbooks/N2005120998000110.pdf","yearbooks/N2005120998000110.xls","1993"
"114","主要农副产品收购混合平均价格","全国和省、自治区、直辖市农村经济","184","N2005120998000111","yearbooks/N2005120998000111.caj","yearbooks/N2005120998000111.pdf","yearbooks/N2005120998000111.xls","1993"
"115","农村集市贸易价格分类指数(以上年价格为100)","全国和省、自治区、直辖市农村经济","185","N2005120998000112","yearbooks/N2005120998000112.caj","yearbooks/N2005120998000112.pdf","yearbooks/N2005120998000112.xls","1993"
"116","农村集市贸易价格分类指数(以本期国营商业价格为100)","全国和省、自治区、直辖市农村经济","185","N2005120998000113","yearbooks/N2005120998000113.caj","yearbooks/N2005120998000113.pdf","yearbooks/N2005120998000113.xls","1993"
"117","主要农副产品交换工业品的数量","全国和省、自治区、直辖市农村经济","186-187","N2005120998000114","yearbooks/N2005120998000114.caj","yearbooks/N2005120998000114.pdf","yearbooks/N2005120998000114.xls","1993"
"118","农村经济效益及收入与分配","全国和省、自治区、直辖市农村经济","188-203","N2005120998000115","yearbooks/N2005120998000115.caj","yearbooks/N2005120998000115.pdf",,"1993"
"119","农村经济效益","全国和省、自治区、直辖市农村经济","188","N2005120998000116","yearbooks/N2005120998000116.caj","yearbooks/N2005120998000116.pdf","yearbooks/N2005120998000116.xls","1993"
"120","各地区农村劳动生产率","全国和省、自治区、直辖市农村经济","189-190","N2005120998000117","yearbooks/N2005120998000117.caj","yearbooks/N2005120998000117.pdf","yearbooks/N2005120998000117.xls","1993"
"121","各地区每一农业劳动力生产的主要农产品","全国和省、自治区、直辖市农村经济","191-192","N2005120998000118","yearbooks/N2005120998000118.caj","yearbooks/N2005120998000118.pdf","yearbooks/N2005120998000118.xls","1993"
"122","各地区社会农副产品收购总额及占现价农业总产值比重","全国和省、自治区、直辖市农村经济","193","N2005120998000119","yearbooks/N2005120998000119.caj","yearbooks/N2005120998000119.pdf","yearbooks/N2005120998000119.xls","1993"
"123","农产品成本、收益与劳动生产率","全国和省、自治区、直辖市农村经济","194-196","N2005120998000120","yearbooks/N2005120998000120.caj","yearbooks/N2005120998000120.pdf","yearbooks/N2005120998000120.xls","1993"
"124","农村经济收入及分配","全国和省、自治区、直辖市农村经济","197","N2005120998000121","yearbooks/N2005120998000121.caj","yearbooks/N2005120998000121.pdf","yearbooks/N2005120998000121.xls","1993"
"125","乡村两级企业收入及分配","全国和省、自治区、直辖市农村经济","198","N2005120998000122","yearbooks/N2005120998000122.caj","yearbooks/N2005120998000122.pdf","yearbooks/N2005120998000122.xls","1993"
"126","乡村两级企业主要经济效益指标","全国和省、自治区、直辖市农村经济","198","N2005120998000123","yearbooks/N2005120998000123.caj","yearbooks/N2005120998000123.pdf","yearbooks/N2005120998000123.xls","1993"
"127","各地区乡村两级企业收入及分配","全国和省、自治区、直辖市农村经济","199-201","N2005120998000124","yearbooks/N2005120998000124.caj","yearbooks/N2005120998000124.pdf","yearbooks/N2005120998000124.xls","1993"
"128","各地区乡村两级企业主要经济效益指标","全国和省、自治区、直辖市农村经济","202-203","N2005120998000125","yearbooks/N2005120998000125.caj","yearbooks/N2005120998000125.pdf","yearbooks/N2005120998000125.xls","1993"
"129","农民家庭收入和生活消费","全国和省、自治区、直辖市农村经济","204-227","N2005120998000126","yearbooks/N2005120998000126.caj","yearbooks/N2005120998000126.pdf",,"1993"
"130","农村调查户基本情况","全国和省、自治区、直辖市农村经济","204","N2005120998000127","yearbooks/N2005120998000127.caj","yearbooks/N2005120998000127.pdf","yearbooks/N2005120998000127.xls","1993"
"131","农民家庭总收入和纯收入","全国和省、自治区、直辖市农村经济","205","N2005120998000128","yearbooks/N2005120998000128.caj","yearbooks/N2005120998000128.pdf","yearbooks/N2005120998000128.xls","1993"
"132","各地区农民家庭纯收入(平均每人)","全国和省、自治区、直辖市农村经济","206","N2005120998000129","yearbooks/N2005120998000129.caj","yearbooks/N2005120998000129.pdf","yearbooks/N2005120998000129.xls","1993"
"133","各地区农民家庭纯收入(按收入来源分)","全国和省、自治区、直辖市农村经济","207","N2005120998000130","yearbooks/N2005120998000130.caj","yearbooks/N2005120998000130.pdf","yearbooks/N2005120998000130.xls","1993"
"134","农民家庭生活消费支出","全国和省、自治区、直辖市农村经济","208","N2005120998000131","yearbooks/N2005120998000131.caj","yearbooks/N2005120998000131.pdf","yearbooks/N2005120998000131.xls","1993"
"135","农民家庭生活消费现金支出","全国和省、自治区、直辖市农村经济","208","N2005120998000132","yearbooks/N2005120998000132.caj","yearbooks/N2005120998000132.pdf","yearbooks/N2005120998000132.xls","1993"
"136","各地区农民家庭生活消费支出","全国和省、自治区、直辖市农村经济","209","N2005120998000133","yearbooks/N2005120998000133.caj","yearbooks/N2005120998000133.pdf","yearbooks/N2005120998000133.xls","1993"
"137","各地区农民家庭生活消费品支出","全国和省、自治区、直辖市农村经济","210-211","N2005120998000134","yearbooks/N2005120998000134.caj","yearbooks/N2005120998000134.pdf","yearbooks/N2005120998000134.xls","1993"
"138","各地区农民家庭生活消费支出构成","全国和省、自治区、直辖市农村经济","212-213","N2005120998000135","yearbooks/N2005120998000135.caj","yearbooks/N2005120998000135.pdf","yearbooks/N2005120998000135.xls","1993"
"139","各地区农民家庭生活消费现金支出","全国和省、自治区、直辖市农村经济","214","N2005120998000136","yearbooks/N2005120998000136.caj","yearbooks/N2005120998000136.pdf","yearbooks/N2005120998000136.xls","1993"
"141","农民家庭主要耐用消费品年末拥有量","全国和省、自治区、直辖市农村经济","216","N2005120998000137","yearbooks/N2005120998000137.caj","yearbooks/N2005120998000137.pdf","yearbooks/N2005120998000137.xls","1993"
"142","农民家庭房屋情况","全国和省、自治区、直辖市农村经济","216","N2005120998000138","yearbooks/N2005120998000138.caj","yearbooks/N2005120998000138.pdf","yearbooks/N2005120998000138.xls","1993"
"143","各地区农民家庭主要耐用消费品年末拥有量","全国和省、自治区、直辖市农村经济","217-219","N2005120998000139","yearbooks/N2005120998000139.caj","yearbooks/N2005120998000139.pdf","yearbooks/N2005120998000139.xls","1993"
"144","各地区农民家庭占有房屋情况","全国和省、自治区、直辖市农村经济","220","N2005120998000140","yearbooks/N2005120998000140.caj","yearbooks/N2005120998000140.pdf","yearbooks/N2005120998000140.xls","1993"
"145","各地区农民家庭住房面积","全国和省、自治区、直辖市农村经济","221","N2005120998000141","yearbooks/N2005120998000141.caj","yearbooks/N2005120998000141.pdf","yearbooks/N2005120998000141.xls","1993"
"146","农民家庭主要实物消费品消费量","全国和省、自治区、直辖市农村经济","222","N2005120998000142","yearbooks/N2005120998000142.caj","yearbooks/N2005120998000142.pdf","yearbooks/N2005120998000142.xls","1993"
"147","各地区农民家庭主要实物消费品消费量","全国和省、自治区、直辖市农村经济","223-226","N2005120998000143","yearbooks/N2005120998000143.caj","yearbooks/N2005120998000143.pdf","yearbooks/N2005120998000143.xls","1993"
"148","各经济地带农民家庭主要指标","全国和省、自治区、直辖市农村经济","227","N2005120998000144","yearbooks/N2005120998000144.caj","yearbooks/N2005120998000144.pdf","yearbooks/N2005120998000144.xls","1993"
"149","农业生产条件","全国和省、自治区、直辖市农村经济","228-281","N2005120998000145","yearbooks/N2005120998000145.caj","yearbooks/N2005120998000145.pdf",,"1993"
"150","全国农业自然资源","全国和省、自治区、直辖市农村经济","228","N2005120998000146","yearbooks/N2005120998000146.caj","yearbooks/N2005120998000146.pdf","yearbooks/N2005120998000146.xls","1993"
"151","全国耕地面积","全国和省、自治区、直辖市农村经济","229","N2005120998000147","yearbooks/N2005120998000147.caj","yearbooks/N2005120998000147.pdf","yearbooks/N2005120998000147.xls","1993"
"152","各地区耕地面积","全国和省、自治区、直辖市农村经济","230-231","N2005120998000148","yearbooks/N2005120998000148.caj","yearbooks/N2005120998000148.pdf","yearbooks/N2005120998000148.xls","1993"
"153","农村劳动力","全国和省、自治区、直辖市农村经济","232","N2005120998000149","yearbooks/N2005120998000149.caj","yearbooks/N2005120998000149.pdf","yearbooks/N2005120998000149.xls","1993"
"154","各地区农村劳动力","全国和省、自治区、直辖市农村经济","233-240","N2005120998000150","yearbooks/N2005120998000150.caj","yearbooks/N2005120998000150.pdf","yearbooks/N2005120998000150.xls","1993"
"155","农民家庭劳动力及文化状况","全国和省、自治区、直辖市农村经济","241","N2005120998000151","yearbooks/N2005120998000151.caj","yearbooks/N2005120998000151.pdf","yearbooks/N2005120998000151.xls","1993"
"156","各地区农民家庭劳动力文化状况","全国和省、自治区、直辖市农村经济","242","N2005120998000152","yearbooks/N2005120998000152.caj","yearbooks/N2005120998000152.pdf","yearbooks/N2005120998000152.xls","1993"
"157","全国主要农业机械年末拥有量","全国和省、自治区、直辖市农村经济","243","N2005120998000153","yearbooks/N2005120998000153.caj","yearbooks/N2005120998000153.pdf","yearbooks/N2005120998000153.xls","1993"
"158","各地区主要农业机械年末拥有量","全国和省、自治区、直辖市农村经济","244-247","N2005120998000154","yearbooks/N2005120998000154.caj","yearbooks/N2005120998000154.pdf","yearbooks/N2005120998000154.xls","1993"
"159","各地区全民所有制农业机械年末拥有量","全国和省、自治区、直辖市农村经济","248-249","N2005120998000155","yearbooks/N2005120998000155.caj","yearbooks/N2005120998000155.pdf","yearbooks/N2005120998000155.xls","1993"
